Product,symptom,description,percentage,parts,symptom_detail_url,difficulty,repair_video_url
Dishwasher,Noisy,"Learn how to troubleshoot and repair a noisy dishwasher by the type of noise it makes, from the rattle of a pump housing or motor bushings, to a worn washer arm bearing.",29,"Pump, Wash Arm Bearing Ring & Spray Arm Seal, Spray Arms",https://www.partselect.com/Repair/Dishwasher/Noisy/,REALLY EASY,https://www.youtube.com/watch?v=A8BeQ5qJyp4
Dishwasher,Leaking,"Diagnose the reason for your leaking dishwasher, from a worn pump and door seals, to a failed water inlet valve.",27,"Pump, Door Gasket, Water Inlet Valve, Dispensers & Grommets, Spray Arm, Float & Float Switch, Hose Clamps & Hoses",https://www.partselect.com/Repair/Dishwasher/Leaking/,EASY,https://www.youtube.com/watch?v=hBAfmgORE6Q
Dishwasher,Will not start,"Learn how to fix a dishwasher that will not start, by checking a few key components, such as door latch switches, timers, electronic controls, motor relays and thermal fuses.",18,"Door Latch Or Door Latch Switch, Timer Or Electronic Control, Selector Switch, Motor Start Relay, Thermal Fuse, Drive Motor",https://www.partselect.com/Repair/Dishwasher/Will-Not-Start/,EASY,https://www.youtube.com/watch?v=XgZq_VdXKiQ
Dishwasher,Door latch failure,Find out how to fix a dishwasher door latch that isn't working properly by troubleshooting common repair parts like the door latch kit.,11,Door Latch Assembly,https://www.partselect.com/Repair/Dishwasher/Door-Latch-Failure/,REALLY EASY,https://www.youtube.com/watch?v=2Jy2G2FNSWg
Dishwasher,Not cleaning dishes properly,"Determine why your dishwasher will not clean properly by troubleshooting parts, like housing gaskets, spray arms, water deliver tubes and filters.",11,"Upper Discharge Housing Gasket, Spray Arm, Docking Station, Chopper, Water Inlet Valve, Water Delivery Tube, Filters, Wash Spinner, Detergent Dispenser, Heating Element, Pump Impellers",https://www.partselect.com/Repair/Dishwasher/Not-Cleaning-Properly/,EASY,https://www.youtube.com/watch?v=9DqYkzF0qVM
Dishwasher,Not draining,"Figure out why your dishwasher will not drain by learning how to test a drain pump motor, timer and drain hose.",9,"Piston & Nut Assembly, Drain Pump & Motor, Check Valve Flapper, Belt, Timer, Drain Hose",https://www.partselect.com/Repair/Dishwasher/Not-Draining/,EASY,https://www.youtube.com/watch?v=9DqYkzF0qVM
Dishwasher,Will not fill with water,"Diagnose why your dishwasher will not fill with water by checking and testing a water inlet valve, float switch and door switch.",2,"Water Inlet Valve, Float, Float Switch, Door Switch",https://www.partselect.com/Repair/Dishwasher/Will-Not-Fill-Water/,EASY,https://www.youtube.com/watch?v=9UxFcTXFewQ
Dishwasher,Will not dispense detergent,"Learn how to repair a dishwasher that will not dispense detergent by testing the bi-metal release, wax motor and timer.",2,"Detergent & Rinse Aid Dispensers, Rinse Aid Cap, Door Spring & Hinge Pin, Wax Motor, Bi-Metal Release, Timer",https://www.partselect.com/Repair/Dishwasher/Will-Not-Dispense-Detergent/,EASY,https://www.youtube.com/watch?v=q5B0FLR1WDM
Dishwasher,Not drying dishes properly,"Find out how to troubleshoot and repair a dishwasher that will not properly dry dishes, by checking heating elements, high limit thermostats and rinse aid dispensers.",1,"Heating Element, High Limit Thermostat, Rinse Aid Dispenser",https://www.partselect.com/Repair/Dishwasher/Not-Drying-Properly/,EASY,https://www.youtube.com/watch?v=EhG4YLuCiXM
Refrigerator,Noisy,"When your fridge is noisy, find out how to repair it by troubleshooting the location of the noise, from the evaporator fan motor in the freezer to the bottom of the fridge with the condenser fan motor.",29,"Condenser Fan Motor, Evaporator Fan Motor, Evaporator Fan Motor Grommet",https://www.partselect.com/Repair/Refrigerator/Noisy/,EASY,https://www.youtube.com/watch?v=nxHx8mhOnvY
